ORGANISME,ANNÉE ATTRIBUTION,TYPE D'AIDE,BÉNÉFICIARE,DESCRIPTION PROJET;MONTANT ATTRIBUÉ
SPEDIDAM,2016,diffusion du spectacle vivant,ROCKTIME,LE ROCK IN OPPOSITION 2016 Une année impériale.Depuis son origine ce festival repose sur la rencontre entre des artistes et un public venus du monde entier.  Un lien tout particulier a immédiatement,4 000.48
SPEDIDAM,2016,diffusion du spectacle vivant,Le Fival, art et culture;Les Musicales au Fival sont un festival de musique de chambre; fondé en 2006; qui se tient chaque année; pendant une semaine au mois d'août. Fruit de la collaboration entre la commune; l'association,4 000.60
SPEDIDAM,2016,diffusion du spectacle vivant,SPIRIADES-SUR-SEINE,Promouvoir le patrimoine musical; la création artistique; tout en valorisant le territoire de La Frette-sur-Seine et sa région; telle est la vocation du Festival de Musique LES SPIRIADES. Le Festiva,4 000.62
SPEDIDAM,2016,diffusion du spectacle vivant,Festival musical Saint Yrieix la Perche,Programmation de concerts de musique classique; festival en juillet aout,4 000.58
SPEDIDAM,2016,diffusion du spectacle vivant,La Clé des Portes,le festival 'La Clé des Portes' initié en 2013 par le Club d'entreprises des Portes de Chambord' est désormais érigé en association autonome La Clé des Portes depuis septemre 2014 et reconnue d'inté,1 500.53
SPEDIDAM,2016,diffusion du spectacle vivant,CONVIVENCIA,FESTIVAL CONVIVENCIA; 20e éditionLanguedoc-Roussillon-Midi-Pyrénées Le Festival Convivencia est un festival navigant de musiques du monde sur le Canal du Midi. Il propose gratuitement à chacune de s,2 500.55
SPEDIDAM,2016,diffusion du spectacle vivant,Les Accords Mineurs,Depuis deux ans; Les Accords Mineurs à Paris et Hanska Projekt à Copenhague ont établi une collaboration pour contribuer à la diffusion du jazz francais au Danemark. Cette année le festival francais,1 575.09
SPEDIDAM,2016,diffusion du spectacle vivant,Office de Tourisme du Canton de Gevrey Chambertin,A peine les 30 bougies viennent d'être soufflés que le festival repart pour une trente et unième saison artistique.La Bourgogne et la Franche-Comté viennent de se réunir pour ouvrir une nouvelle rég,3 000.02
SPEDIDAM,2016,diffusion du spectacle vivant,SONATES D'AUTOMNE EN LOCHOIS,Une édition de six concerts répartis sur deux week ends; des artistes de haut niveau et dans le prolongement de l'édition 2015; la venue de jeunes artistes issus du CNSM de Paris aux côtés de leurs,3 500.12
SPEDIDAM,2016,diffusion du spectacle vivant,le P'ti Balzar,Musique traditionelle,3 700.05
SPEDIDAM,2016,diffusion du spectacle vivant,Pick Up Production,  Lancé en 2005; HIP OPsession est l'un des principaux festivals européens entièrement dédié à la culture hip hop. Piloté par l'association Pick Up Production; il associe un maximum d'acteurs locaux,3 000.03
SPEDIDAM,2016,diffusion du spectacle vivant,COURANTS D'ARTS (38),  « Jazz'Alp» sera la première manifestation d'importance mise en place par l'association « Courants d'Arts ». Ce festival aura lieu du 4 au 11 mars 2017; à l'Alpe du Grand Serre;    Il veut : Créer,4 500.05
SPEDIDAM,2016,diffusion du spectacle vivant,Osmose,Un Festival de Musique Classique et Contemporaine au Coeur de la Bretagne En 2012; la création des Rencontres Musicales du Kreiz Breizh a révélé l'intérêt d'un public pour des répertoires peu entend,4 500.02
SPEDIDAM,2016,diffusion du spectacle vivant,Festival de piano en Trièves,Dans un territoire rural étendu à l'habitat dispersé (10 000 habitants; 28 communes sur 632 km2 de moyenne montagne côté Vercors Sud); à 50 km de Grenoble; le festival s ‘attache depuis 2011 à  rend,4 000.92
SPEDIDAM,2016,diffusion du spectacle vivant,NEDIELA,C'est vers l'Italie que la 12e édition des Arts à Gahard fera voyager son public ! Des ruelles napolitaines aux montagnes des Apennins; de la mandoline au tambourin; de la puissance du chant populai,3 600.88
SPEDIDAM,2016,diffusion du spectacle vivant,Kollectif du Pois Chiche Masqué  KPCM,Affichant un burlesque assumé; entre une fête de village et un festival de musique; la fête du pois chiche constitue une offre culturelle unique !La journée c'est art de la rue; animations déjantées,2 000.91
SPEDIDAM,2016,diffusion du spectacle vivant,LISZT EN PROVENCE,Fidèle à l'esprit de Franz Liszt - générosité et exigence - la 19e édition du festival qui lui est dédié invite à partager l'émotion transmise par des pianistes et un violoniste d'exception: leur pe,2 500.98
SPEDIDAM,2016,diffusion du spectacle vivant,SILLAGE MUSIQUES,La Saison musicale à l'église de Plouguer existe depuis 2012; elle propose une programmation de musiques acoustiques classiques et traditionnelles ou des créations issues des rencontres entre divers,1 320.01
SPEDIDAM,2016,diffusion du spectacle vivant,Jazz en Cévennes,A l'initiative de musiciens originaires de Lozère; le Festival Jazz à Vialas a été organisé avec beaucoup de succès depuis 2008. L'association Jazz en Cévennes a été créée afin de permettre le dével,3 720.04
SPEDIDAM,2016,diffusion du spectacle vivant,8 de Montcabrier,Le « 8 de Montcabrier » n'est pas l'enseigne d'un tout nouveau restaurant branché mais le nom d'un jeune et dynamique festival de musique de chambre !  Montcabrier; son village médiéval; l'acoustiqu,3 500.78
SPEDIDAM,2016,diffusion du spectacle vivant,Théâtre de l'Atalante,Organisé deux fois par an au Théâtre de l'Atalante; le festival Trois; 6; Neuf célèbre en 2016 sa sixième année d'existence. Piloté par Squaaly; chroniqueur musical et DJ international et Azul; conc,1 350.94
SPEDIDAM,2016,diffusion du spectacle vivant,Va Jouer Dehors !,C'est l'histoire d'une idée née entre Loire et Saint Laurent; de la rencontre de deux musiciennes parties faire leurs études au Canada. C'est une idée voyageuse qui s'est nourrie de rencontres et d'e,3 000.02
SPEDIDAM,2016,diffusion du spectacle vivant,LES AMIS DE L'ORGUE DE SAINT-JACQUES,Mettre en oeuvre et organiser les vendredi 21; samedi 22 et dimanche 23 octobre 2016 la troisième édition du festival « Orgue en Fête »; avec un ensemble de concerts et de manifestations autour des o,3 000.01
SPEDIDAM,2016,diffusion du spectacle vivant,I'M FROM RENNES,Elément clé de la rentrée musicale; et considéré comme la vitrine de la scène émergente rennaise; le festival propose pendant plus de 10 jours une série de concerts et de rencontres; relayés par les,2 000.03
SPEDIDAM,2016,diffusion du spectacle vivant,ALVB,L'Association ALVB va organiser le festival Muse et Piano dans le musée du Louvre-Lens du 30 septembre au 2 octobre 2016. Muse et Piano va proposer plusieurs récitals de pianistes internationaux qui,3 500.18
SPEDIDAM,2016,diffusion du spectacle vivant,Bellac Sur Scène,Le Festival National de Bellac abordera sa 63ème édition avec une formule plus dense que les années passées; ressérée sur 5 jours; la manifestation porposera au public de partir vers d'autres horizo,1 808.17
SPEDIDAM,2016,diffusion du spectacle vivant,JAZZIN',Pour cette 9eme édition; le festival JAZZ'IN CHEVERNY se déroulera du 30 juin au 3 juillet. La scène du château installée devant l'édifice accueillera le vendredi et le samedi soir les concerts les,1 600.19
SPEDIDAM,2016,diffusion du spectacle vivant,Jeux d'Ensemble,  Les musiciens du collectif  Jeux d'Ensemble commencent à se produire dès l'été 2007 dans le département de la Loire. Tous diplomés des plus hautes institutions européennes ( CNSM de Paris et Lyon;,3 000.10
SPEDIDAM,2016,diffusion du spectacle vivant,ENSEMBLE BAROQUES GRAFFITI,Pour sa 9ème édition le festival Asse Arcadie propose de participer dans le cadre d'un territoire dévolu au pastotalisme  à la création d'un moment spécifique de rencontre et d'échange.   « sonates,3 900.11
SPEDIDAM,2016,diffusion du spectacle vivant,la Rumeur,Le « Festival Flottant; Un Piano à La Mer » existe depuis 10 ans à Marseille. Il est né de l'envie de faire flotternotre piano dans la baie marseillaise. Le premier concert a été organisé dans la Ca,4 000.12
SPEDIDAM,2016,diffusion du spectacle vivant,Les Musicales de Ristolas,4e édition d'un festival de musique de chambre dans la vallée du Haut-Guil du Queyras; vallée qui n'a pas d'autres festivals de musique classique. Des musiciens d'une plus grande notoriété sont invi,3 500.91
SPEDIDAM,2016,diffusion du spectacle vivant,L'Abeille Beugle,Festival l'Abeille Beugle; 28-30Juillet 2016 à Vaunières: Après 7 éditions en Drôme; l'Abeille Beugle repart pour un nouveau périple au hameau de Vaunières à Saint-Julien-en-Beauchêne.Démarche esthét,4 000.92
SPEDIDAM,2016,diffusion du spectacle vivant,LE TEMPS DES GUITARES,  L'association le Temps des Guitares organise le premier festival international de guitare à Puy l'Evèque du 19 au 22 juillet 2016. Ce festival aura lieu au Théâtre de Verdure de Puy l'Evêque; lieu,1 600.88
SPEDIDAM,2016,diffusion du spectacle vivant,A Tempo (81),  Notre association  mène ses actions culturelles dans le Tarn depuis 2010; elles s'inscrivent dans le cadre d'une politique de développement et de sensibilisation des publics  autour d'un projet ar,2 000.80
SPEDIDAM,2016,diffusion du spectacle vivant,Happiness Music,Crée il y a quatre ans; le festival Scène d'été DIEULEFIT a lieu dans le théâtre de verdure de la ville.  Le festival propose trois soirées de concerts entièrement gratuites et ouvertes à tous afin,2 500.85
SPEDIDAM,2016,diffusion du spectacle vivant,PROMART,Le jazz en toute liberté La Commission municipale Culture et l'association Prom'Art sont très heureuses et trèsfières de présenter cette 3e édition du Festival « Jazz à Grans »; accueillie cette ann,2 400.86
SPEDIDAM,2016,diffusion du spectacle vivant,LES MAGNIFIQUES,Ce festival propose une programmation éclectique autour de la chanson française; mélangeant des spectacles professionnels qui attirent un public nombreux; et des spectacles amateurs créés par des pe,4 000.87
SPEDIDAM,2016,diffusion du spectacle vivant,DEVENEMENTIEL,La Pistouflerie est un bistrot concert; créé en 2011; situé dans un village de 500 habitants; Cassagnabère –Tournas (31420). Elle est gérée et animée par une équipe d'une vingtaine de bénévoles acti,3 000.65
SPEDIDAM,2016,diffusion du spectacle vivant,LES ARTS'FRANCHIS,Le festival Les Arts'Franchis a pour vocation de mêler les différents arts; de faire se croiser des artistes issus de pratiques différentes et d'offrir à un public également varié des spectacles spo,3 000.72
SPEDIDAM,2016,diffusion du spectacle vivant,Musique en Ré,Le festival Musique en Ré fête son 29ème anniversaire cette année. Ce premier concert du 16 juillet; animé par l'orchestre symphonique constitué d'étudiants du CNSM de Paris et de Lyon; et de différ,4 000.67
SPEDIDAM,2016,diffusion du spectacle vivant,Compagnie de la Hulotte (06),Trobarea; L'Art des Troubadours des XIIème et XIIIème siècles. Evènement consacré à la poésie occitane qui permet la rencontre de passionnés de cet Art; chercheurs; luthiers; conférenciers et artist,2 500.64
SPEDIDAM,2016,diffusion du spectacle vivant,Terres d'Empreintes,Le FESTIVAL DES EMPREINTES SONORES; consacré à la musique et aux sons; de façon plus générale; est à la fois multiface et original. Dans un premier temps; il continue son travail sur l'identité-même,4 000.73
SPEDIDAM,2016,diffusion du spectacle vivant,Chauffer dans la noirceur,Le festival 2016 du 14 au 17 Juillet (+ la soirée partenaire du 13 juillet) Le thème choisi cette année est l'urgence; notion qui revient fréquemment en ce moment et qui en devient oppressante...,4 500.77
SPEDIDAM,2016,diffusion du spectacle vivant,GRAND SOUFFLET,Le Grand Soufflet est un festival dédié à l'accordéon et aux instruments à anche libre co organisé par l'association Grand Soufflet et une trentaine de communes; communautés de communes et associati,2 700.22
SPEDIDAM,2016,diffusion du spectacle vivant,MUSIQUE(S) EN MARCHE,Jazz,3 000.23
SPEDIDAM,2016,diffusion du spectacle vivant,CALL FORTH,La région Languedoc-Roussillon-Midi-Pyrénées bénéficie de lieux de patrimoine remarquables qui constituent l'un de ses premiers facteurs d'attractivité. « Jardins Synthétiques »; festival de créatio,790.24
SPEDIDAM,2016,diffusion du spectacle vivant,MJC des Carrés,Organisé par l'association les Carrés (ex.mjc); Jazz aux Carrés est le point d'ancrage de l'association; l'événement culturel phare de la commune. Le festival fédére l'engagement bénévole des adhére,3 000.13
SPEDIDAM,2016,diffusion du spectacle vivant,LA SAONE SWINGUE,Pour la 14ème année consécutive; l'association 'La Saône swingue' organise un festival de musique jazz. Fort de son expérience; La Saône swingue; tout en renouvelant ses points forts; élargit ses ac,4 000.06
SPEDIDAM,2016,diffusion du spectacle vivant,LES NUITS DU CHAT,Chaque année en automne; le festival Les Nuits du Chat offre aux mélomanes enthousiastes des spectacles réunissant qualité; humour et bonne humeur. Avec des artistes à envergure nationale mais égal,2 100.07
SPEDIDAM,2016,diffusion du spectacle vivant,LEDA ATOMICA MUSIQUE,Chaque année; le festival des Inovendables rassemble un public d'afficionados; toujours enrichi de nouveaux curieux; qui nous fait confiance; connaît le travail d'un des artistes; s'ouvre la découve,3 200.03
SPEDIDAM,2016,diffusion du spectacle vivant,Tourmaline,Les Journées de musiques anciennes lèvent le voile sur les musiques du Moyen-âge et de la Renaissance : ces répertoires à la fois si raffinés et novateurs;  interprétés par des ensembles de renommée,1 200.01
SPEDIDAM,2016,diffusion du spectacle vivant,Bretagne(s) World Sounds,NOBORDER; festival des musiques populaires de Bretagne et du mondeco-organisé par Le Quartz; Scène Nationale de Brest et Bretagne(s) World Sounds. Initiative portée conjointement par Le Quartz et BW,2 800.02
SPEDIDAM,2016,diffusion du spectacle vivant,Hip Hop Citoyens,Après avoir développé et installé durablement la « Quinzaine du Hip Hop: Paris Hip Hop » dans le paysage culturel francilien; Hip Hop Citoyens avait à coeur deproposer un nouveau projet tourné vers,1 700.03
SPEDIDAM,2016,diffusion du spectacle vivant,Coriandre (30),  Ce festival ou « carrefour des musiques et danses traditionnelles » se déroule invariablement à Sommières le troisième week-end du mois de janvier depuis 2000. Devenu pour tous un événement de réf,2 700.02
SPEDIDAM,2016,diffusion du spectacle vivant,ECARTS,6ème édition du festival BRUITS BLANCS; dédié aux musiques exploratoires et aux croisementx expérimentaux avec les formes audiovisuelles; la littérature ou la poésie Créé en 2011 à Anis Gras; Arcuei,3 200.14
SPEDIDAM,2016,diffusion du spectacle vivant,Cordes en Folie,La Fête du Violon s'ouvre résolument sur la rencontre des violons du monde. Les mouvements de fusion lient les esthétiques et transcendent les frontières musicales. La musique proposée par le group,4 000.12
SPEDIDAM,2016,diffusion du spectacle vivant,MUSIQUES AMPLIFIEES AUX MARQUISATS D'ANNECY,La 7ème édition du festival Hors-Pistes aura lieu du 10 au 18 février prochain. Temps fort sur l'agglomération d'Annecy; le festival a lieu à la croisée des vacances d'hiver; afin de pouvoir bénéfic,4 000.09
SPEDIDAM,2016,diffusion du spectacle vivant,Laurent Carrier Diffusion,Emile Parisien (génération Spedidam) prépare la création d'une nouvelle formation en quintet; qui sera présentée en avant première le 14 mai 2016 au Triton (Les Lilas); puis au festival EuropaJazz d,3 640.03
SPEDIDAM,2016,formation des artistes,BILL EVANS PIANO ACADEMY,Formation,1 500.01
SPEDIDAM,2016,formation des artistes,JAZZ ACTION VALENCE,Formation,1 000.03
CFC,2016,création,Association les Carnets,Festival Les Carnets - La Roque d Anthéron,3 000.00
CFC,2016,création,Association Cogito,Festival International du livre d Art et du Film (FILAF) et Salon du livre d art,5 000.00
CFC,2016,création,Association Languedoc-Roussillon livre et lecture,Chroniques retrouvées du Midi 2016,5 000.00
CFC,2016,création,Association Languedoc-Roussillon livre et lecture,Journée professionnelle 'Les mutations de la BD',2 800.00
CFC,2016,création,Association Internationale des librairies francophones (AILF),Suite des Rencontres 2015,5 000.00
CFC,2016,création,Association Internationale des librairies francophones (AILF),Rencontres interprofessionnelles de l Océan Indien,3 000.00
CFC,2016,création,Centre régional du livre en Limousin - Pôle francophone,Midi-minuit; une bal(l)ade en langues françaises et francophonies,2 500.00
ARP,2016,création,ADRIC,Aide d Intérêt Collectif - Soutien au financement de l association pour son activité de lobbying et de défense de la diversité culturelle,600.00
ARP,2016,éducation artistique et culturelle,Classes A Pac,Cycle de conférences en Bourgogne sur la cinématographie d un pays;à destination des enseignants; collégiens et lycéens.,2 944.53
ARP,2016,création,Festival COLCOA,Collaboration à l'organisation du Festival du film français à Los Angeles.,2 046.20
ARP,2016,éducation artistique et culturelle,Cinéma Eden de La Ciotat,Organisation de projections et Masterclass avec des cinéastes au cinéma Eden; première salle de cinéma du monde à La Ciotat.,328.00
ARP,2016,création,Les Cinéastes invitent à l ami européen,Accueil au Cinéma des Cinéastes d avant-premières de films européens; en présence des réalisateurs.,2 766.44
ARP,2016,création,Représentation de L ARP à l étranger,Aide d'Intérêt Collectif - Activité de lobbying et de défense de la diversité culturelle,1 552.12
SCPP,2016,création,1D ZIK,CD de Davy Kilembé,4 700.00
SCPP,2016,création,ACCORDS CROISES,CD de Vakia Stavrou,2 200.00
SCPP,2016,création,ACCORDS CROISES,CD de Yacine Boulares; Vincent Segal et Nasheet Waits,2 800.00
SCPP,2016,création,ADF BAYARD MUSIQUE,CD Méditation Hébraïque,2 400.00
SCPP,2016,création,ADF BAYARD MUSIQUE,CD de Bin Wang,1 500.00
SCPP,2016,création,ADRENALINE PROD,CD de Merzhin,2 400.00
SCPP,2016,création,ALCAZART,CD de Mixcity,2 700.00
SCPP,2016,création,AMSTAR PROD,CD de Fahro,2 700.00
SCPP,2016,création,ANAGOGY,CD de Lord Ruby,3 900.00
SCPP,2016,création,ARB,CD de Marlène Ngaro,2 200.00
SCPP,2016,création,ARION,CD des Bubbey Mayse,3 800.00
SCPP,2016,création,ART ET MUSIQUE D AMBRONAY,CD de l ensemble Voces Suaves,3 900.00
SCPP,2016,création,ART ET MUSIQUE D AMBRONAY,CD de l ensemble Les Cris de Paris,3 850.00
SCPP,2016,création,ART ET MUSIQUE D AMBRONAY,CD de l ensemble Seconda Pratica,3 400.00
SCPP,2016,création,ASSO POUR LA CREATION ET ED EN LIBERTE,CD de Débora Seffer,2 800.00
SCPP,2016,création,ASSO POUR LA CREATION ET ED EN LIBERTE,CD de Yochk o Seffer,4 400.00
SCPP,2016,création,ASSOCIATION LES BRAKAS,CD de Bazar & Bémols,3 100.00
SCPP,2016,création,ASSOCIATION SALAMAH,CD de Robert Spline,2 800.00
SCPP,2016,création,AUDIOGENIC,CD de Maissouille,2 500.00
SCPP,2016,création,AUDIOGENIC,CD de The Speed Freak,4 500.00
SCPP,2016,création,BABOEUP PRODUCTIONS,CD de Simon Goldin,4 200.00
SCPP,2016,création,BALADINS TOURS PRODUCTIONS,CD du groupe Buzz,3 500.00
SCPP,2016,création,BELLEVUE,CD de The Buns,3 300.00
SCPP,2016,création,BIG BANANA MUSIC,CD de Bab El West,3 300.00
SCPP,2016,création,BLACK STAMP MUSIC,CD de Cyril Amourette,3 300.00
SCPP,2016,création,BLUE MOON PRODUCIONES,CD de Sébastien Joulie,3 300.00
SCPP,2016,création,BLUE MOON PRODUCIONES,CD de Gael Horellou,4 200.00
SCPP,2016,création,BNC PRODUCTIONS,CD de Pascal Lamour,2 700.00
SCPP,2016,création,BROKEN BACK INC,CD de Broken Back,3 500.00
SCPP,2016,création,BULLET PROD,CD de Hassool,2 700.00
SCPP,2016,création,BULLET PROD,CD de Noko Freddy,4 400.00
SCPP,2016,création,BVC ORGANISATION,CD de L Equipage Tonnerre,4 700.00
SCPP,2016,création,COLLECTIF PINCE-OREILLES,CD du Gregory Sallet 5tet,2 400.00
SCPP,2016,création,CONCERTO MUNDO,CD de Teteu,4 500.00
SCPP,2016,création,CONNEXE SPHERE,CD du Sylvain Cathala Septet (live),1 300.00
SCPP,2016,création,CONTINUO MUSIQUE,CD de l ensemble Les Temps Modernes,3 900.00
SCPP,2016,création,COOP BREIZH DIFFUSION BREIZH,CD du groupe Fleuves,4 600.00
SCPP,2016,création,CRISTAL GROUPE,CD Point Of Views,2 400.00
SCPP,2016,création,CRISTAL GROUPE,CD de The Volunteered Slaves,1 700.00
SCPP,2016,création,CYLID,CD de Al Tarba,4 100.00
SCPP,2016,création,D2C PRODUCTION & MANAGEMENT,CD de François Dumont,3 900.00
SCPP,2016,création,D2C PRODUCTION & MANAGEMENT,CD d Hiroaki Takenouchi,2 600.00
SCPP,2016,création,D2C PRODUCTION & MANAGEMENT,CD d Aline Piboule,3 300.00
SCPP,2016,création,DM PRODUCTIONS,CD de Victor Zölo (EP),1 000.00
SCPP,2016,création,DONOPROD,CD de Donoré,3 200.00
SCPP,2016,création,DU SAVON DANS LES YEUX,CD de Maradato,4 100.00
SCPP,2016,création,DU SAVON DANS LES YEUX,CD de Maradato,3 000.00
SCPP,2016,création,DUR ET DOUX,CD de Chromb!,2 400.00
SCPP,2016,création,DYLIE,CD de Gérard Delahaye,3 800.00
SCPP,2016,création,EDEL GERMANY GMBH,CD de Sinsaenum,2 800.00
SCPP,2016,création,EDEL GERMANY GMBH,CD de Run Liberty Run,2 900.00
SCPP,2016,création,ELIOTT,CD de Didier Super,2 800.00
SCPP,2016,création,ENTREPRISE SOCIETALE D ENTREPRENARIAT,CD de Julia Jean-Baptiste,1 100.00
SCPP,2016,création,EOLE COLLECTIF DE MUSIQUE ACTIVE,CD d Aurélio Edler-Copès,2 500.00
SCPP,2016,création,EUROSCENE EVENEMENTS,CD de Véronique Pestel,4 100.00
SCPP,2016,création,FINALISTES,CD de Maud Lubeck,4 600.00
SCPP,2016,création,FORMULETTE PRODUCTION,CD de Rémi,3 300.00
SCPP,2016,création,FULL RHIZOME,CD de Ulas Ozdemir,3 600.00
SCPP,2016,création,FULL RHIZOME,CD du Jivan Gasparyan Duduk Ensemble,2 900.00
SCPP,2016,création,GARINE,CD de Marc Morvan,3 500.00
SCPP,2016,création,GRAND MUSIQUE MANAGEMENT,CD de Team Ghost,1 900.00
SCPP,2016,création,HADRA,CD de Secret Vibes,3 800.00
SCPP,2016,création,HEAVENLY SWEETNESS,CD de Guts,4 900.00
SCPP,2016,création,HELICO,CD de Padam,3 350.00
SCPP,2016,création,HORTUS DEVELOPPEMENT,CD de Régis Allard,4 200.00
SCPP,2016,création,INDEPENDANT MUSICIANS,CD de Trio Combo Brazil,2 000.00
SCPP,2016,création,INFINE,CD de Danton Eefrom,4 700.00
SCPP,2016,création,INTERNEXTERNE,CD de French 79,2 900.00
SCPP,2016,création,IPANEMA MUSIC,CD de Head On Television (EP),1 200.00
SCPP,2016,création,IRMA TERILOEVITCH,CD de She is cake,4 600.00
SCPP,2016,création,ISEGORIA MUSIC,CD de Kylan,2 600.00
SCPP,2016,création,KOS AND CO,CD Les Psaumes du Roi David - Patrick Khalifa,1 700.00
SCPP,2016,création,KOS AND CO,CD Paradoxe du comédien - Georges Claisse,1 000.00
SCPP,2016,création,KWAIDAN,CD de La Féline,2 900.00
SCPP,2016,création,KWAIDAN,CD de Corine,3 100.00
SCPP,2016,création,KWAIDAN,CD Nouvelle Vague,3 400.00
SCPP,2016,création,LA CAVE DE DISQUES,CD de Sollex & The Radiators (EP),3 700.00
SCPP,2016,création,LA PRIMA VOLTA,CD de Philippe Bianconi,3 400.00
SCPP,2016,création,LA PRIMA VOLTA,CD de Wilhem Latchoumia,4 900.00
SCPP,2016,création,LABEL FOLIE,CD de Iaross,2 900.00
SCPP,2016,création,LABEL HERISSON,CD de So Park et Mathieu Dupouy,3 900.00
SCPP,2016,création,L ATELIER DU PELICAN,CD de Julianne Joe (EP),1 800.00
SCPP,2016,création,LE BATISKAF,CD de White Elephant,3 300.00
SCPP,2016,création,LE FONDEUR DE SON,CD du Anti Rubber Brain Factory,2 500.00
SCPP,2016,création,LE FURIEUX,CD d Armelle Dumoulin,3 800.00
SCPP,2016,création,LE FURIEUX,CD d Achille,4 800.00
SCPP,2016,création,LE LIVRE QUI PARLE - DPI,CD Les Pardaillan 08 - Yvan Verschueren,4.00
SCPP,2016,création,LE LIVRE QUI PARLE - DPI,CD L amour de la vie - Marc Hamon,1.50
SCPP,2016,création,LE LIVRE QUI PARLE - DPI,CD Montaigne - Marc Hamon,4.00
SCPP,2016,création,L EGLISE DE LA PETITE FOLIE,CD de Delgado Jones & The Brotherhood,3 300.00
SCPP,2016,création,L ENCELADE,CD de Yoann Moulin,4 200.00
SCPP,2016,création,LES EDITIONS GERARD TEMPESTI,CD de Christian Delagrange,2 800.00
SCPP,2016,création,LES FAUBOURGS D URANUS,CD de La Belle Bleue,2 700.00
SCPP,2016,création,LES FRÈRES DE LA CÔTE,CD de Cello Woman (double album),2 700.00
SCPP,2016,création,LES RÉ-CRÉATIONS DU POURQUOI,CD de De Calm,4 900.00
SCPP,2016,création,LES STUDIOS DE LA RUCHE,CD de Pethrol,2 000.00
SCPP,2016,création,LITTORAL RECORDS,CD de Fabien Martin (EP),4 800.00
SCPP,2016,création,LOKANGA,CD de Kengo Saito,4 900.00
SCPP,2016,création,MEGALUX PRODUCTIONS,CD de Alan Corbel,3 200.00
SCPP,2016,création,MICHEL N ZAU VUANDA,CD de Bantunani,4 600.00
SCPP,2016,création,MICROCULTURES,CD de Jim Yamouridis,1 400.00
SCPP,2016,création,MICROCULTURES,CD de Nicolas Paugam,2 100.00
SCPP,2016,création,MICROQLIMA,CD d Amarillo (EP),2 000.00
SCPP,2016,création,MICROQLIMA,CD de Pépite,2 200.00
SCPP,2016,création,MIKROKOSM,CD de Daisy Lambert,4 200.00
SCPP,2016,création,MIRADOR,CD du duo Belvédère (EP),3 200.00
SCPP,2016,création,MISTIROUX PRODUCTIONS,CD de Fall For Alaska (EP),2 300.00
SCPP,2016,création,MJF,CD de Nemo Schiffman,4 400.00
SCPP,2016,création,MONTHABOR,CD de Béatrice Gobin,2 800.00
SCPP,2016,création,MOONKEYS MUSIC,CD de Holybrune (EP),3 200.00
SCPP,2016,création,MOUMKINE MUSIC,CD de Mickey 3D,3 700.00
SCPP,2016,création,MUD CLUB,CD de Bim Bam Orchestra,3 300.00
SCPP,2016,création,MUKONGO BUSINESS LTD,CD de Keblack,4 000.00
SCPP,2016,création,MURAILLES MUSIC,CD de Powerdove,3 100.00
SCPP,2016,création,MURAILLES MUSIC,CD de La Terre Tremble,2 300.00
SCPP,2016,création,MUSIC SQUARE / INDESENS,CD de Mikhail Rudy,2 900.00
SCPP,2016,création,MUSIC SQUARE / INDESENS,CD de Jessye Mebounou,4 700.00
SCPP,2016,création,MUSIC SQUARE / INDESENS,CD de Philipe Guilhon - Herbert,4 800.00
SCPP,2016,création,MUSIC SQUARE / INDESENS,CD de Jean-François Durez,2 000.00
SCPP,2016,création,NEON NAPOLEON,CD de Séverin,3 750.00
SCPP,2016,création,NO FORMAT,CD de Toto Bona Lokua,4 400.00
SCPP,2016,création,NOWADAYS RECORDS,CD de Unno (EP),4 700.00
SCPP,2016,création,NOWADAYS RECORDS,CD de LeMarquis (EP),4 200.00
SCPP,2016,création,NOWADAYS RECORDS,CD de Awir Léon,2 200.00
SCPP,2016,création,OBSIDIENNE,CD de Vanina de Franco,3 600.00
SCPP,2016,création,ON N EST PAS DES MACHINES,CD de Supafuh,2 300.00
SCPP,2016,création,ON N EST PAS DES MACHINES,CD de Rémila (EP),3 600.00
SCPP,2016,création,ONCLE VIKING,CD de You Man,2 000.00
SCPP,2016,création,ONZE HEURES ONZE,CD de Stéphane Payen,4 700.00
SCPP,2016,création,OPUS 87,CD de Gaspard Dehaene,4 200.00
SCPP,2016,création,PAGANAB,CD de Dom DufF,3 400.00
SCPP,2016,création,PAPA LUNA PRODUCTIONS,CD de Monsieur Lune,3 700.00
SCPP,2016,création,PATCHROCK,CD de Bumpkin Island,1 900.00
SCPP,2016,création,PBOX SARL,CD de Jérôme Lapierre,3 300.00
SCPP,2016,création,PBOX SARL,CD de Mini Vague (EP),2 200.00
SCPP,2016,création,PBOX SARL,CD de Shorebilly,3 000.00
SCPP,2016,création,PLANET WOO,CD de The Afro Haïti Expérimental Orchestra,3 100.00
SCPP,2016,création,PYPO PRODUCTION,CD de Rumble 2 Jungle,2 400.00
SCPP,2016,création,QUART DE LUNE,CD de Beauty & The Beast (EP),3 000.00
SCPP,2016,création,QUASART,CD d Arnault Cuisinier,2 000.00
SCPP,2016,création,RECE,CD de Totorro,2 500.00
SCPP,2016,création,ROCKERS DIE YOUNGER,CD de Dalva,4 000.00
SCPP,2016,création,ROSELINE PRODUCTIONS,CD de Nicolas Berton,4 900.00
SCPP,2016,création,ROY MUSIC,CD de The Toxic Avenger,3 000.00
SCPP,2016,création,SARL 1.6 BLOCKPROD,CD de Lefty,3 200.00
SCPP,2016,création,SARL 1.6 BLOCKPROD,CD de MMZ,3 500.00
