ORGANISME,ANNÉE ATTRIBUTION,TYPE D'AIDE,BÉNÉFICIARE,DESCRIPTION PROJET;MONTANT ATTRIBUÉ
SOFIA,2016,création,MEDIATHEQUE MUNICIPALE PAUL ELUARD,3e Semaine de la Lecture Publique,750.00
SOFIA,2016,création,Médiathèque Per Jakez Helias,Festival Clair de lune,1 700.00
SOFIA,2016,création,Médiathèque Simonne et Jean Lacouture,Salon du livre et de l'illustration jeunesse,3 000.00
SOFIA,2016,création,Médiathèques municipales de Cluses,Esperluette; salon du livre de Cluses,1 000.00
SOFIA,2016,création,Montévidéo,Les Mercredis de Montevideo Litterature 2016,3 500.00
SOFIA,2016,création,Orthez Animations,21èmes Journées du Livre d'Orthez,5 000.00
SOFIA,2016,création,RES.UZERCHA - Réseau d’Échanges de Savoirs d’Uzerche,LE LOUPIOT - SALON DU LIVRE DE JEUNESSE D'UZERCHE 2016,3 000.00
SOFIA,2016,création,TEXTES & VOIX,Saison Littéraire TEXTES & VOIX 2016-2017,5 000.00
SOFIA,2016,création,Tu Connais la Nouvelle?,Mes murs ont la parole,3 000.00
SOFIA,2016,création,Ville de Gujan-Mestras,THRILLERS A GUJAN-MESTRAS,2 000.00
SOFIA,2016,création,VO/VF,Festival 'VO-VF. Le monde en livres',3 000.00
SOFIA,2016,création,A (H)auteur de mots (association),Festival A (H)auteur de mots 2017,5 000.00
SOFIA,2016,création,A livres ouverts (association),Biennale à livres ouverts,5 000.00
SOFIA,2016,création,adaBD(association des auteurs de bande dessinée,Rencontres adaBD / FIBD et Pavillon Jeunes Talents 2017,2 970.00
SOFIA,2016,création,APAE,12e Salon de littérature de jeunesse L'Ivre Jeunesse,4 000.00
SOFIA,2016,création,Artefact Prod,16eme festival BD 'Des Planches et des Vaches',5 000.00
SOFIA,2016,création,Association culturelle et sportive du Pays du Roi Morvan,Salon du livre jeunesse du Pays du Roi Morvan 2017,5 000.00
SOFIA,2016,création,Association internationale de libraires francophones,Rencontres interprofessionnelles en Océan indien autour de la littérature jeunesse,3 000.00
SOFIA,2016,création,Association internationale de libraires francophones,Rencontres interprofessionnelles - Acte II,5 000.00
SOFIA,2016,création,Bibliothèque municipale de Montigny-lès-Metz,Salon du livre jeunesse de Montigny-lès-Metz,2 000.00
SOFIA,2016,création,Calonn'Anim (association),Festival BD Bulles en Loire 30ème édition,2 300.00
SOFIA,2016,création,Centre régional du livre en Limousin,Voix de poètes en Limousin,4 000.00
SOFIA,2016,création,Communauté d'Agglomération d'Amiens Métropole,Printemps de la poésie,5 000.00
SOFIA,2016,création,Conseil Départemental de la Creuse - Bibliothèque,Mômes à la page : festival départemental du livre jeunesse,5 000.00
SOFIA,2016,création,EPCC Livre et lecture en Bretagne,Prix 'Facile à lire bretagne' 2017,4 000.00
SOFIA,2016,création,Espace Pandora,19e édition du Printemps des Poètes à Lyon et dans l'agglomération,3 000.00
SOFIA,2016,création,Et derrière le livre...,Rencontres d'auteurs et d'illustrateurs,3 500.00
SOFIA,2016,création,Féroce Marquise,Festival Expoésie; 16e édition,5 000.00
SOFIA,2016,création,FRANCE-OURAL (association),JOURNEES DU LIVRE RUSSE ET DES LITTERATURES RUSSOPHONES 2017,5 000.00
SOFIA,2016,création,LA MARELLE,PROGRAMME DE RÉSIDENCES D'ÉCRIVAINS,5 000.00
SOFIA,2016,création,Le goût de lire en pays d'Apt (association),Engageons-nous en littérature : 2ème volet,3 500.00
SOFIA,2016,création,L'écriture prend le large (association),Festival littéraire et artistique : Ainsi vivent les hommes,3 500.00
SOFIA,2016,création,Les Amis des Livres,Salon du Livre Jeunesse 'L'Yrieix-vous ?',2 000.00
SOFIA,2016,création,LES AVOCATS DU DIABLE,ORGANISATION ET PROMOTION DU PRIX DE LA NOUVELLE ÉROTIQUE,5 000.00
SOFIA,2016,création,Les Bruissonnantes (association),Festival Les Bruissonnantes édition 2017,3 500.00
SOFIA,2016,création,Les Francophonies en Limousin,Nouvelles Zébrures - Edition 2017,5 000.00
SOFIA,2016,création,Les Livreurs,Bal à la Page de la Saint Valentin,4 000.00
SOFIA,2016,création,Librairie AB EURL ELEDJAM CAMBET,Du Rouge au Noir; Polars et Vins,3 000.00
SOFIA,2016,création,Lire et délires,Rencontres littérature jeunesse,5 000.00
SOFIA,2016,création,Littérature Au centre d'Auvergne,Littérature au Centre: 'Littératures et cinéma',3 000.00
SOFIA,2016,création,Lycée Raymond Cortat,Coup de Coeur 3e-2e,2 000.00
SOFIA,2016,création,Mairie de Theix-noyalo,salon du livre en partenariat avec 3 communes,3 000.00
SOFIA,2016,création,Maison de la poésie de Rennes,Projets d'éducation Artistique et Culturelle sur l'année 2017,2 500.00
SOFIA,2016,création,maison de la poésie pays de quimperlé,Programmation de la Maison de la Poésie du Pays de Quimperlé,4 000.00
SOFIA,2016,création,Montévidéo,Les Mercredis de Montevideo Litterature 2016,5 000.00
SOFIA,2016,création,PAN! (association),Privé/Public,3 000.00
SOFIA,2016,création,Prix littéraire des lycées professionnels du Haut-Rhin,Prix littéraire des lycées professionnels du Haut-Rhin 2017,2 500.00
SOFIA,2016,création,Ville de Levallois - Médiathèque,Salon du Roman Historique,5 000.00
SOFIA,2016,création,ZINC GRENADINE,Zinc Grenadine 2017,3 000.00
SOFIA,2016,création,SOCIETE DES GENS DE LETTRES,Littérature et musique,2 125.00
SOFIA,2016,création,ATLF,rencontres ATLF salon du livre,300.00
SOFIA,2016,création,ATLF,Animations au festival America 2016,2 500.00
SOFIA,2016,création,Syndicat National de l'édition,Rencontres BD en région - édition 2017,5 000.00
SOFIA,2016,formation des artistes,ATLF - Association des Traducteurs Littéraires de France,Journée de formation 2016,2 500.00
SCELF,2016,création,Scénario au long cours,Festival des scénaristes de Valence,5 000.00
SCELF,2016,création,Toronto International Film Festival Inc.,Shoot the Book ! TIFF Toronto,4 890.73
SCELF,2016,création,L'Invitation aux voyages,L'Invitation aux voyages,2 000.00
SCELF,2016,création,SCELF,Rencontres SCELF de l'audiovisuel,5 000.00
PROCIREP,2016,création,10 15 PRODUCTIONS,Aide à la production de Courts Métrages - Pourquoi j'ai écrit la Bible d'Alexandre STEIGER / A qui appartient le hasard ? De Thomas BARDINET / Eloge du pédalage de Thomas BARDINET,5 000.00
PROCIREP,2016,création,ADASTRA FILMS,Aide à la production de Courts Métrages - Hôtel Ambassador de Shane ATKINSON / Aisling de Johanna VAUDE,3 500.00
PROCIREP,2016,création,BARNEY PRODUCTION,Aide à la production de Courts Métrages - Glister de Vincent TRICON / Le jour de ton jour de Steve ACHIEPO / Bête Noire de Maxime GILLIER / Sous Terre d'Hadrien BICHET,5 000.00
PROCIREP,2016,création,BIEN OU BIEN PRODUCTIONS,Aide à la production de Courts Métrages - Ramdam de ZANGRO / Corporate d'Emmanuel TENENBAUM,3 000.00
PROCIREP,2016,création,CITRON BIEN,Aide à la production de Courts Métrages - Vieil ours de Chen CHEN / Un peu perdu d'Hélène DUCROCQ,2 500.00
PROCIREP,2016,création,DEUXIEME LIGNE FILMS,Aide à la production de Courts Métrages - Les Osselets d'Elodie BOUEDEC / Plein Ouest d'Alice DOUARD,3 000.00
PROCIREP,2016,création,DUBLIN FILMS,Aide à la production de Courts Métrages - La Veillée de Jonathan MILLET / Le Vice caché des Navajos de Laetitia MIKLES / Avedda Magique de Selim BENTOUNES,4 500.00
PROCIREP,2016,création,EDDY PRODUCTION,Aide à la production de Courts Métrages - Le Mans 55 de Quentin BAILLEUX / Benidorm (ex. AM / FM) de Raphaëlle TINLAND,2 500.00
PROCIREP,2016,création,FILMS DE FORCE MAJEURE,Aide à la production de Courts Métrages - Abymes de J. TELLE et R.PERRIN / Swamp de Paul WENNINGER / Les Chants d'à côté de Flavie PINATEL,2 500.00
PROCIREP,2016,création,FILMS DU BAL,Aide à la production de Courts Métrages - Fata Morgana de Salomé LAMAS / Un été viril de Laurent LUNETTA,2 500.00
PROCIREP,2016,création,FILMS DU CLAN,Aide à la production de Courts Métrages - Lorraine ne sait pas chanter d'Anna MARMIESSE / Larsen de Margot GALLIMARD,2 500.00
PROCIREP,2016,création,FULL DAWA PRODUCTION,Aide à la production de Courts Métrages - Naissance d'une Etoile de James BORT / Kilt de Rakel STROM,4 500.00
PROCIREP,2016,création,GULLIVER PRODUCTIONS,Aide à la production de Courts Métrages - Dans la forêt d'Adrien RICCIARDELLI / Terminus de Maxens TASSERIT,4 000.00
PROCIREP,2016,création,HIPPOCAMPE PRODUCTIONS,Aide à la production de Courts Métrages - Néréides de Jordane OURDIN / La ballade de Pete le Bohème de Vincent DELBOS,2 500.00
PROCIREP,2016,création,IKKI FILMS,Aide à la production de Courts Métrages - Negative Space de R. KUWAHATA et M. PORTER / Far from the Sheep de Marion LACOURT,2 500.00
PROCIREP,2016,création,INSOLENCE PRODUCTIONS,Aide à la production de Courts Métrages - A l'Aube de Julien TRAUMAN /Déguste de Stéphane BAZ,3 000.00
PROCIREP,2016,création,LA MER A BOIRE PRODUCTIONS,Aide à la production de Courts Métrages - Blind Sex de Sarah SANTAMARIA-MERTENS / Bijou bijou de Sébastien DE FONSECA,4 000.00
PROCIREP,2016,création,LES VALSEURS,Aide à la production de Courts Métrages - Les Corps électriques d'Antoine JANOT / Arthur Rambo de Guillaume LEVIL / FC Zagora d'Yves PIAT,3 000.00
PROCIREP,2016,création,MIYU PRODUCTIONS,Aide à la production de Courts Métrages - L'après-midi de Clémence de Lénaïg LEMOIGNE / Les maîtres silencieux de Naïs VAN LAER / Je sors acheter des cigarettes d'Osman CERFON,4 000.00
PROCIREP,2016,création,PAPRIKA FILMS,Aide à la production de Courts Métrages - La Bête de Filippo MENEGHETTI / La Méprise de Damien GAULLT / Cap ou pas Cap d'Enrika PANERO,3 500.00
PROCIREP,2016,création,PRODUCTIONS AU CLAIR DE LUNE,Aide à la production de Courts Métrages - La Veilleuse de Florence SOBIESKI / SEM de Eric GUENOUN,2 500.00
PROCIREP,2016,création,TOPSHOT FILMS,Aide à la production de Courts Métrages - Edith et Henry de Clémence LEBATTEUX / La Ligne d'horizon de Guillaume FABRELUCE,2 500.00
PROCIREP,2016,création,YUKUNKUN PRODUCTIONS,Aide à la production de Courts Métrages - La peur du vide de Thomas SOULIGNAC / Tir croisé de Sacha BARBIN,4 000.00
PROCIREP,2016,création,FESTIVAL D'AUBAGNE ALCIME,Aide d'Intérêt Collectif - Soutien à l'organisation de l'Espace Kiosque du Festival d'AUBAGNE [du 20 au 25 mars 2017] destiné à favoriser les rencontres professionnelles et les échanges auteurs/producteurs,5 000.00
PROCIREP,2016,création,RENCONTRES DU MOYEN METRAGE,Aide d'Intérêt Collectif - Soutien pour l'organisation des 13èmes Rencontres Européennes du Moyen Métrage [Brive du 05 au 10 avril 2016],2 500.00
PROCIREP,2016,création,BO TRAVAIL !,Aide à la production de DOCUMENTAIRES - A LA RECHERCHE DU DIO VI SALVI REGINA PERDU,4 000.00
PROCIREP,2016,création,IMAGE IMAGES,Aide à la production de DOCUMENTAIRES - LES FRERES DE LA TORTUE,5 000.00
PROCIREP,2016,création,UN FILM A LA PATTE,Aide à la production de DOCUMENTAIRES - LE PORT DU RHIN; L' ILE AUX REVES,5 000.00
PROCIREP,2016,création,TACT PRODUCTION,Aide à la production de DOCUMENTAIRES - MEMOIRES DE MISSIONNAIRE,5 000.00
PROCIREP,2016,création,RHIZOME,Aide à la production de DOCUMENTAIRES - ARA GULER L' ŒIL D' ISTANBUL,5 000.00
